Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Arthur Cabral,br BRA,FW,Botafogo (RJ),27-179,1998,11.4,11,4,1,6,4,3,4,75.0,1,5,1,4,0,11,14,0,Matches
102,Cacá,br BRA,DF,Corinthians,26-179,1999,14.9,24,20,14,9,1,20,25,80.0,5,15,9,6,9,33,59,0,Matches
103,Raúl Cáceres,py PAR,DF,Vitória,34-033,1991,14.0,24,16,18,4,2,15,30,50.0,15,10,3,7,7,31,75,0,Matches
104,Calebe,br BRA,MF,Fortaleza,25-174,2000,2.5,4,2,0,2,2,1,3,33.3,2,3,1,2,2,6,2,0,Matches
105,Jonathan Calleri,ar ARG,FW,São Paulo,32-028,1993,1.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
106,Camilo,br BRA,"MF,DF",Grêmio,26-240,1999,7.8,22,11,11,9,2,9,18,50.0,9,10,3,7,16,38,31,0,Matches
107,Camutanga,br BRA,DF,Vitória,32-024,1993,6.8,7,5,5,2,0,4,4,100.0,0,3,1,2,3,10,46,0,Matches
108,Luan Cândido,br BRA,DF,Sport Recife,24-261,2001,7.0,9,4,2,5,2,4,8,50.0,4,15,7,8,11,20,32,0,Matches
109,Germán Cano,ar ARG,FW,Fluminense,37-261,1988,16.2,6,4,1,5,0,2,9,22.2,7,6,1,5,2,8,8,1,Matches
110,Agustín Canobbio,uy URU,"FW,MF",Fluminense,27-020,1998,14.9,38,22,16,21,1,18,41,43.9,23,16,2,14,7,45,17,1,Matches
111,Aitor Cantalapiedra,es ESP,"MF,FW",Vitória,29-253,1996,7.3,4,4,1,1,2,1,2,50.0,1,6,1,5,3,7,8,0,Matches
112,Juninho Capixaba,br BRA,DF,RB Bragantino,28-107,1997,14.3,35,25,17,14,4,14,31,45.2,17,23,7,16,18,53,64,2,Matches
113,Johan Carbonero,co COL,"FW,MF",Internacional,26-093,1999,11.5,12,7,2,7,3,5,8,62.5,3,10,1,9,1,13,4,0,Matches
114,Felipe Cardoso,br BRA,FW,Vitória,22-231,2003,0.9,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
115,Edson Carioca,br BRA,FW,Mirassol,28-109,1997,13.0,27,17,8,15,4,6,18,33.3,12,20,2,18,5,32,10,0,Matches
116,Igor Cariús,br BRA,DF,Sport Recife,32-173,1993,14.5,36,24,22,13,1,20,33,60.6,13,16,1,15,21,57,60,0,Matches
117,Carlinhos,br BRA,FW,Vitória,28-251,1997,1.8,3,1,0,0,3,0,0,,0,0,0,0,2,5,3,0,Matches
118,Antonio Carlos,br BRA,DF,Sport Recife,32-228,1993,3.0,3,2,3,0,0,0,3,0.0,3,0,0,0,1,4,21,0,Matches
119,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,33-248,1992,2.3,3,3,1,2,0,1,3,33.3,2,3,1,2,0,3,1,0,Matches
120,Ruan Carneiro,br BRA,GK,Juventude,35-207,1990,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
121,Jorge Carrascal,co COL,"FW,MF",Flamengo,27-149,1998,4.4,17,7,3,5,9,7,13,53.8,6,4,0,4,2,19,4,0,Matches
122,André Carrillo,pe PER,MF,Corinthians,34-129,1991,10.2,14,9,11,2,1,3,16,18.8,13,8,2,6,8,22,9,0,Matches
123,Gabriel Carvalho,br BRA,FW,Internacional,18-065,2007,0.8,2,1,0,2,0,1,1,100.0,0,1,1,0,0,2,1,0,Matches
124,Cássio,br BRA,GK,Cruzeiro,38-137,1987,26.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,5,2,Matches
125,Iury de Castilho,br BRA,FW,Mirassol,30-045,1995,5.5,7,7,2,5,0,0,4,0.0,4,3,0,3,2,9,4,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Caue,br BRA,DF,RB Bragantino,18-312,2006,0.5,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0,Matches
127,Murilo Cerqueira,br BRA,DF,Palmeiras,28-208,1997,11.9,18,11,4,13,1,8,16,50.0,8,19,7,12,12,30,46,1,Matches
128,Julio Cesar,br BRA,DF,Fluminense,18-349,2006,2.0,3,2,2,1,0,2,2,100.0,0,0,0,0,4,7,5,0,Matches
129,Kayky Chagas,br BRA,"FW,MF",Bahia,22-132,2003,8.9,21,9,11,7,3,6,17,35.3,11,11,1,10,5,26,5,0,Matches
130,Gabriel Chapecó,br BRA,GK,Grêmio,25-206,2000,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,Matches
131,Chico,br BRA,"MF,FW",Mirassol,34-157,1991,3.1,10,7,1,6,3,4,11,36.4,7,3,0,3,5,15,1,0,Matches
132,Chico,br BRA,DF,Sport Recife,27-037,1998,11.8,19,11,12,7,0,14,20,70.0,6,13,10,3,12,31,93,2,Matches
133,Christian,br BRA,FW,Cruzeiro,24-306,2000,19.9,30,14,7,18,5,16,27,59.3,11,20,2,18,14,44,16,0,Matches
134,Cipriano,br BRA,DF,Juventude,22-347,2002,2.1,2,1,1,1,0,1,3,33.3,2,3,1,2,4,6,8,0,Matches
135,Claudinho,br BRA,DF,Vitória,25-027,2000,10.0,21,10,14,7,0,14,25,56.0,11,13,5,8,10,31,26,1,Matches
136,Clayson,br BRA,FW,Mirassol,30-216,1995,2.8,2,1,1,1,0,1,5,20.0,4,3,0,3,1,3,0,0,Matches
137,Clayton,br BRA,DF,Internacional,25-200,2000,6.6,7,3,4,3,0,2,5,40.0,3,13,9,4,7,14,35,0,Matches
138,Cleiton,br BRA,DF,Flamengo,22-179,2003,0.9,3,2,1,2,0,1,1,100.0,0,2,2,0,2,5,7,0,Matches
