Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
480,Max,br BRA,"MF,FW",Cuiabá,24-182,2001,30,27,2317,25.7,2,4,6,2,0,0,5,2,0.08,0.16,0.23,0.08,0.23,Matches
481,Maxwell,br BRA,MF,Remo,30-272,1995,5,0,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
482,Maycon,br BRA,DF,Ferroviária,27-173,1998,18,14,1315,14.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
483,Mayk,br BRA,"DF,MF",Novorizontino,26-071,1999,19,17,1446,16.1,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches
484,Thiago Medeiros,br BRA,MF,Operário,21-307,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
485,Gustavo Medina,br BRA,DF,Ferroviária,24-124,2001,25,25,2120,23.6,1,1,2,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,Matches
486,Matheus Mega,br BRA,MF,Athletic,26-062,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
487,Bruno Melo,br BRA,DF,Coritiba,33-015,1992,27,24,2038,22.6,2,1,3,2,0,0,9,1,0.09,0.04,0.13,0.09,0.13,Matches
488,Eduardo Melo,br BRA,FW,Remo,24-181,2001,6,2,182,2.0,1,0,1,1,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches
489,Nathan Melo,br BRA,MF,CRB,24-235,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
490,Nathan Melo,br BRA,MF,Vila Nova,24-235,2001,5,1,132,1.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
491,Bruno Mendes,br BRA,FW,Vila Nova,31-100,1994,11,4,445,4.9,1,1,2,1,0,0,2,0,0.20,0.20,0.40,0.20,0.40,Matches
492,Gabriel Mendes,br BRA,MF,Avaí,30-134,1995,9,1,259,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
493,Matheus Mendes,br BRA,GK,América (MG),26-245,1999,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
494,Vitor Mendes,br BRA,DF,Ferroviária,26-270,1999,2,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
495,Stiven Mendoza,co COL,"MF,FW",Ath Paranaense,33-136,1992,19,15,1291,14.3,2,3,5,1,1,2,4,1,0.14,0.21,0.35,0.07,0.28,Matches
496,Higor Meritão,br BRA,MF,CRB,31-140,1994,33,33,2813,31.3,1,2,3,1,0,0,7,0,0.03,0.06,0.10,0.03,0.10,Matches
497,Gabriel Mesquita,br BRA,GK,Paysandu,27-057,1998,17,15,1495,16.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
498,Messias,br BRA,DF,Goiás,31-007,1994,29,29,2536,28.2,2,0,2,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
499,Geovane Meurer,br BRA,MF,Coritiba,23-169,2002,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
500,João Miguel,br BRA,MF,Athletic,21-257,2004,3,3,135,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
501,Mikael,br BRA,FW,CRB,26-166,1999,30,20,1599,17.8,6,1,7,6,0,0,3,0,0.34,0.06,0.39,0.34,0.39,Matches
502,Rafael Milhorim,br BRA,DF,Botafogo (SP),26-238,1999,17,13,1125,12.5,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
503,Gabriel Mineiro,br BRA,FW,Cuiabá,20-196,2005,4,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
504,Lucas Mineiro,br BRA,MF,Cuiabá,29-259,1996,25,15,1357,15.1,2,1,3,2,0,0,7,0,0.13,0.07,0.20,0.13,0.20,Matches
505,Vinicius Mingotti,br BRA,FW,Operário,25-307,2000,26,13,1189,13.2,1,1,2,1,0,1,0,0,0.08,0.08,0.15,0.08,0.15,Matches
506,Miqueias,br BRA,MF,América (MG),24-106,2001,26,20,1595,17.7,1,2,3,1,0,0,7,0,0.06,0.11,0.17,0.06,0.17,Matches
507,Miranda,br BRA,DF,Operário,25-295,2000,24,24,2115,23.5,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
508,Edson Miranda,br BRA,DF,Athletic,26-206,1999,5,5,420,4.7,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches
509,MIRANDINHA,br BRA,MF,Volta Redonda,25-326,1999,8,4,361,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
510,Diego Miticov,br BRA,MF,Vila Nova,23-156,2002,10,4,430,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
511,Matheus Mococa,br BRA,MF,Athletic,25-249,2000,8,1,189,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
512,Rodrigo Moledo,br BRA,DF,Coritiba,38-014,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
513,Arthur Monteiro,gw GNB,MF,Paysandu,20-288,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
514,Rafael Monteiro,br BRA,"DF,MF",Amazonas,21-269,2004,12,9,612,6.8,0,1,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches
515,Moraes,br BRA,"DF,FW",Goiás,28-038,1997,21,15,1458,16.2,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
516,Airton Moraes,br BRA,GK,Novorizontino,31-165,1994,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
517,Kauã Moraes,br BRA,"DF,MF",Ath Paranaense,19-134,2006,14,13,1114,12.4,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches
518,Igor Morais,br BRA,DF,Volta Redonda,27-196,1998,11,11,960,10.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
519,Lucas Moreira,br BRA,MF,Goiás,18-012,2007,3,1,96,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Lucas Moreira,br BRA,MF,Cuiabá,25-099,2000,9,4,281,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
521,Everton Morelli,br BRA,MF,Criciúma,28-006,1997,12,9,781,8.7,1,1,2,1,0,0,5,0,0.12,0.12,0.23,0.12,0.23,Matches
522,Pedro Morisco,br BRA,GK,Coritiba,21-304,2004,28,28,2485,27.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
523,Kauã Moroso,br BRA,GK,Criciúma,21-244,2004,11,10,945,10.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
524,Jean Mota,br BRA,MF,Vila Nova,32-026,1993,22,12,1048,11.6,1,1,2,0,1,1,0,0,0.09,0.09,0.17,0.00,0.09,Matches
525,MV,br BRA,"FW,MF",Volta Redonda,27-123,1998,22,19,1640,18.2,3,1,4,3,0,0,4,0,0.16,0.05,0.22,0.16,0.22,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
526,Mycael,br BRA,GK,Ath Paranaense,21-243,2004,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
527,Léo Naldi,br BRA,MF,Atl Goianiense,24-084,2001,7,2,254,2.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
528,Léo Naldi,br BRA,MF,Criciúma,24-084,2001,20,13,1294,14.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
529,Luciano Naninho,br BRA,MF,Volta Redonda,33-130,1992,5,1,129,1.4,0,1,1,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,Matches
530,Andrey Ramos do Nascimento,br BRA,MF,Athletic,27-268,1998,5,0,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
531,Léo Natel,br BRA,"FW,MF",Novorizontino,28-241,1997,7,5,346,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
532,Nathan,br BRA,MF,Remo,29-242,1996,9,2,356,4.0,0,1,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches
533,Nathan,br BRA,DF,Remo,24-066,2001,11,11,922,10.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
534,Nathan,br BRA,DF,Athletic,27-180,1998,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
535,Emerson Negueba,br BRA,"MF,FW",Avaí,24-351,2000,28,22,1844,20.5,4,2,6,4,0,0,4,0,0.20,0.10,0.29,0.20,0.29,Matches
536,Jefferson Nem,br BRA,MF,Botafogo (SP),29-214,1996,29,26,2199,24.4,3,3,6,3,0,0,2,0,0.12,0.12,0.25,0.12,0.25,Matches
537,Netinho,br BRA,MF,Ferroviária,27-327,1997,29,27,2111,23.5,3,3,6,2,1,1,7,1,0.13,0.13,0.26,0.09,0.21,Matches
538,Alyson Neves,br BRA,"DF,MF",Amazonas,29-219,1996,6,6,506,5.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
539,Gustavo Nicola,br BRA,MF,Paysandu,27-014,1998,4,1,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
540,Nicolas,br BRA,FW,Criciúma,36-037,1989,23,23,1679,18.7,7,1,8,6,1,2,1,0,0.38,0.05,0.43,0.32,0.38,Matches
541,Nicolas,br BRA,FW,Paysandu,36-037,1989,8,5,457,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
542,Nilson,br BRA,DF,Operário,34-062,1991,4,3,283,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
543,Guilherme Nogueira,br BRA,MF,América (MG),18-348,2006,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
544,Matheus Nogueira,br BRA,GK,Paysandu,28-051,1997,21,21,1745,19.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
545,Gabriel Novaes,br BRA,FW,Amazonas,26-219,1999,4,2,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
546,Gabriel Novaes,br BRA,MF,Criciúma,26-219,1999,4,2,152,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
547,Steven Nufour,gh GHA,MF,Criciúma,20-311,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
548,Thales Oleques,br BRA,DF,Operário,31-196,1994,10,7,605,6.7,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
549,Ruan Oliveira Ferreira,br BRA,MF,Cuiabá,25-232,2000,4,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
550,Christian Ortiz,ar ARG,"FW,MF",América (MG),33-082,1992,12,3,437,4.9,0,2,2,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
551,Oluwasegun Otusanya,ng NGA,FW,Criciúma,21-136,2004,7,0,103,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
552,Luis Oyama,br BRA,MF,Novorizontino,28-284,1997,33,21,2092,23.2,1,3,4,1,0,0,7,0,0.04,0.13,0.17,0.04,0.17,Matches
553,Juan Pablo Zuluaga,co COL,MF,Operário,32-148,1993,31,27,2177,24.2,2,1,3,2,0,0,8,0,0.08,0.04,0.12,0.08,0.12,Matches
554,Tiago Pagnussat,br BRA,DF,Vila Nova,35-146,1990,32,32,2590,28.8,1,0,1,1,0,0,11,1,0.03,0.00,0.03,0.03,0.03,Matches
555,Vinícius Paiva,br BRA,"MF,FW",Vila Nova,24-254,2001,22,6,760,8.4,0,1,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches
556,Gustavo Paje,br BRA,MF,Vila Nova,20-281,2005,16,3,357,4.0,3,2,5,3,0,0,3,0,0.76,0.50,1.26,0.76,1.26,Matches
557,Ariel Palacio,br BRA,MF,Atl Goianiense,27-129,1998,11,2,347,3.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
558,Hayen Palacios,co COL,DF,Ath Paranaense,26-062,1999,5,5,440,4.9,1,0,1,1,0,0,2,1,0.20,0.00,0.20,0.20,0.20,Matches
559,Renato Palma,br BRA,DF,Novorizontino,34-027,1991,3,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
560,Pará,br BRA,MF,Amazonas,23-265,2002,1,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
561,Neto Paraíba,br BRA,MF,Operário,33-131,1992,30,27,2060,22.9,2,1,3,2,0,0,8,0,0.09,0.04,0.13,0.09,0.13,Matches
562,Nino Paraíba,br BRA,DF,Cuiabá,39-304,1986,7,2,207,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
563,Guilherme Parede,br BRA,"MF,FW",Vila Nova,30-052,1995,21,17,1398,15.5,0,4,4,0,0,0,5,0,0.00,0.26,0.26,0.00,0.26,Matches
564,Felipe Pasadore,ar ARG,FW,Cuiabá,25-114,2000,5,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
565,Mateus Pasinato,br BRA,GK,Cuiabá,33-135,1992,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
566,Glauco Passos,br BRA,GK,Athletic,30-272,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
567,Otávio Passos,br BRA,GK,Avaí,32-293,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
568,Patrick,br BRA,MF,Volta Redonda,26-352,1998,20,7,716,8.0,0,2,2,0,0,0,2,1,0.00,0.25,0.25,0.00,0.25,Matches
569,Patrick,br BRA,MF,Ath Paranaense,33-104,1992,29,22,1794,19.9,0,2,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
570,Patrick,br BRA,"MF,DF",Novorizontino,28-158,1997,13,9,821,9.1,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
571,Patrick,br BRA,DF,Novorizontino,26-215,1999,30,27,2460,27.3,0,1,1,0,0,0,10,0,0.00,0.04,0.04,0.00,0.04,Matches
572,Giuliano de Paula,br BRA,"MF,FW",Ath Paranaense,35-163,1990,16,7,664,7.4,3,0,3,1,2,2,1,0,0.41,0.00,0.41,0.14,0.14,Matches
573,Paulinho,br BRA,"DF,MF",América (MG),21-134,2004,19,17,1533,17.0,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches
574,Paulinho,br BRA,MF,Vila Nova,27-111,1998,3,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
575,Jefferson Paulino,br BRA,GK,Volta Redonda,33-360,1991,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
576,Vini Paulista,br BRA,MF,Coritiba,24-233,2001,23,9,938,10.4,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
577,Joao Paulo,br BRA,DF,Chapecoense,28-129,1997,31,31,2585,28.7,1,0,1,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,Matches
578,Marcos Paulo,br BRA,"MF,FW",Operário,24-282,2001,11,6,563,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
579,Giovanni Pavani,br BRA,MF,Remo,28-354,1996,23,13,1135,12.6,2,1,3,2,0,0,8,0,0.16,0.08,0.24,0.16,0.24,Matches
580,Pedrão,br BRA,DF,Atl Goianiense,32-327,1992,10,6,597,6.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
581,Pedrão,br BRA,DF,Avaí,21-308,2004,7,5,506,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
582,Pedrinho,br BRA,"MF,FW",Cuiabá,26-000,1999,8,8,547,6.1,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
583,João Pedro,br BRA,"MF,FW",Volta Redonda,22-281,2003,13,6,602,6.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
584,João Pedro,br BRA,MF,Avaí,20-205,2005,27,22,1628,18.1,5,1,6,5,0,0,4,0,0.28,0.06,0.33,0.28,0.33,Matches
585,João Pedro Ramos,br BRA,DF,Ferroviária,22-268,2003,6,3,353,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
586,Douglas Pelé,br BRA,"DF,MF",Athletic,26-077,1999,30,25,2270,25.2,2,4,6,1,1,1,7,0,0.08,0.16,0.24,0.04,0.20,Matches
587,Léo Pelé,br BRA,DF,Ath Paranaense,29-249,1996,27,23,2156,24.0,1,0,1,1,0,0,2,1,0.04,0.00,0.04,0.04,0.04,Matches
588,Carlos de Pena,uy URU,MF,Coritiba,33-244,1992,28,1,661,7.3,1,2,3,1,0,0,5,0,0.14,0.27,0.41,0.14,0.41,Matches
589,Brenno Pereira,br BRA,MF,Operário,20-178,2005,8,1,241,2.7,1,0,1,0,1,1,1,0,0.37,0.00,0.37,0.00,0.00,Matches
590,Pernambuco,br BRA,MF,Operário,27-196,1998,6,2,223,2.5,0,1,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches
591,Pedro Perotti,br BRA,FW,Chapecoense,27-353,1997,18,3,498,5.5,3,0,3,3,0,0,2,0,0.54,0.00,0.54,0.54,0.54,Matches
592,Eduardo Person,br BRA,MF,Chapecoense,28-290,1997,4,2,145,1.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
593,Josué Pesqueira,pt POR,MF,Coritiba,35-054,1990,33,32,2630,29.2,6,4,10,3,3,3,9,0,0.21,0.14,0.34,0.10,0.24,Matches
594,Neto Pessoa,br BRA,FW,Criciúma,31-178,1994,5,3,240,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches
595,Neto Pessoa,br BRA,FW,Chapecoense,31-178,1994,24,21,1586,17.6,5,1,6,5,0,0,2,0,0.28,0.06,0.34,0.28,0.34,Matches
596,Petterson,br BRA,MF,Paysandu,21-310,2004,8,2,257,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
597,Del Piage,br BRA,MF,Avaí,25-212,2000,2,1,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
598,Giovanni Piccolomo,br BRA,"FW,MF",CRB,31-220,1994,15,0,461,5.1,2,1,3,2,0,0,3,0,0.39,0.20,0.59,0.39,0.59,Matches
599,Giovanni Piccolomo,br BRA,FW,Paysandu,31-220,1994,6,2,198,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
600,Pierre,br BRA,MF,Volta Redonda,23-243,2002,19,19,1647,18.3,0,1,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
601,Gabriel Pinheiro,br BRA,DF,Volta Redonda,28-205,1997,25,24,2019,22.4,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches
602,Luan Polli,br BRA,GK,Cuiabá,32-218,1993,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
603,Wesley Pombo,br BRA,MF,Ferroviária,23-161,2002,9,2,221,2.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
604,Werik Popó,br BRA,FW,Criciúma,24-024,2001,7,6,390,4.3,1,1,2,1,0,0,0,1,0.23,0.23,0.46,0.23,0.46,Matches
605,William Pottker,br BRA,"MF,FW",Atl Goianiense,31-323,1993,8,6,448,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
606,William Pottker,br BRA,"MF,FW",CRB,31-323,1993,20,3,731,8.1,0,3,3,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches
607,Gabriel Poveda,br BRA,FW,Vila Nova,27-126,1998,31,21,1774,19.7,5,3,8,5,0,0,2,0,0.25,0.15,0.41,0.25,0.41,Matches
608,Quaresma,br BRA,MF,Avaí,29-080,1996,3,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
609,Guilherme Queiróz,br BRA,FW,Botafogo (SP),35-171,1990,11,5,544,6.0,2,1,3,2,0,0,2,0,0.33,0.17,0.50,0.33,0.50,Matches
610,Yeferson Quintana,uy URU,DF,Paysandu,29-205,1996,8,8,548,6.1,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
611,Quirino,br BRA,FW,Ferroviária,32-027,1993,6,0,62,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
612,Radsley,br BRA,MF,Atl Goianiense,30-252,1995,6,2,211,2.3,0,1,1,0,0,0,3,0,0.00,0.43,0.43,0.00,0.43,Matches
613,Rafinha,br BRA,MF,CRB,25-269,2000,9,1,226,2.5,1,0,1,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches
614,Rai,br BRA,"MF,FW",Volta Redonda,23-203,2002,30,26,2187,24.3,1,2,3,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,Matches
615,Rai,br BRA,DF,Atl Goianiense,20-320,2004,6,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
616,Railan,br BRA,DF,Avaí,25-245,2000,20,4,667,7.4,1,1,2,1,0,0,1,1,0.13,0.13,0.27,0.13,0.27,Matches
617,Raimar,br BRA,DF,Amazonas,23-167,2002,2,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
618,Ralf,br BRA,MF,Vila Nova,41-154,1984,14,7,641,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
619,Bruno Ramires,br BRA,DF,Amazonas,31-237,1994,9,7,671,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
620,Lucas Ramires,br BRA,DF,Volta Redonda,23-197,2002,1,0,31,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
621,Kevin Ramírez,uy URU,"MF,FW",Amazonas,31-223,1994,27,25,2062,22.9,10,1,11,9,1,2,6,0,0.44,0.04,0.48,0.39,0.44,Matches
622,Ramon,br BRA,MF,Paysandu,25-181,2000,6,1,195,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
623,Anselmo Ramon,br BRA,FW,Goiás,37-140,1988,33,31,2695,29.9,9,1,10,9,0,1,3,0,0.30,0.03,0.33,0.30,0.33,Matches
624,Raí Ramos,br BRA,DF,Atl Goianiense,31-188,1994,7,7,548,6.1,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
625,Raí Ramos,br BRA,"MF,DF",Novorizontino,31-188,1994,5,3,286,3.2,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
626,Marcelo Rangel,br BRA,GK,Remo,37-177,1988,35,35,3065,34.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
627,Pedro Rangel,br BRA,GK,Coritiba,25-134,2000,9,8,749,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
628,Wellington Rato,br BRA,"MF,FW",Goiás,33-135,1992,19,13,1266,14.1,2,2,4,1,1,1,2,0,0.14,0.14,0.28,0.07,0.21,Matches
629,Raul,br BRA,"MF,DF",Ath Paranaense,29-122,1996,15,9,880,9.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
630,Régis,br BRA,MF,Remo,32-345,1992,17,1,448,5.0,1,2,3,1,0,0,0,1,0.20,0.40,0.60,0.20,0.60,Matches
631,Matheus Régis,br BRA,MF,Botafogo (SP),26-091,1999,18,4,433,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
632,César Reis,br BRA,GK,Avaí,30-267,1995,21,21,1888,21.0,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
633,Bruno Reis Índio,br BRA,MF,Operário,33-011,1992,29,23,1988,22.1,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches
634,Léo Reis,br BRA,FW,Avaí,24-246,2001,11,0,197,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
635,Renan,br BRA,FW,Ath Paranaense,25-262,2000,20,6,668,7.4,7,0,7,7,0,0,2,0,0.94,0.00,0.94,0.94,0.94,Matches
636,Reverson,br BRA,DF,Paysandu,28-281,1997,31,26,2421,26.9,2,6,8,2,0,0,4,0,0.07,0.22,0.30,0.07,0.30,Matches
637,Rhaldney,br BRA,MF,Atl Goianiense,26-355,1998,13,13,1065,11.8,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
638,Lucas Ribeiro,br BRA,DF,Goiás,26-295,1999,23,21,1739,19.3,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
639,Matheus Ribeiro,br BRA,DF,CRB,32-018,1993,36,34,3043,33.8,1,2,3,1,0,0,1,0,0.03,0.06,0.09,0.03,0.09,Matches
640,Ruan Ribeiro,br BRA,"MF,FW",Vila Nova,22-087,2003,16,5,546,6.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
